gtdbId,K00368,K00370,K00376,K02567,K02575,K03385,K04561,K07234,K07673,K10535,K12266,K13771,K15864,K21563,K21564,contamination,completeness
GB_GCA_000752035.1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,4.05,99.35
GB_GCA_000752995.2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,2.24,99.47
GB_GCA_000759655.1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,83.79
GB_GCA_000767215.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.58,99.71
GB_GCA_000786105.1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.0,95.52
GB_GCA_000952795.1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0.23,99.64
GB_GCA_000953475.1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0.34,99.32
GB_GCA_000955795.1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1.15,99.94
GB_GCA_000955875.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.59,98.91
GB_GCA_000961635.1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0.97,64.3
GB_GCA_000961845.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.08,97.76
GB_GCA_000967895.1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1.4,99.71
GB_GCA_000985875.1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.64,99.28
GB_GCA_000996035.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52.56
GB_GCA_000996085.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60.72
GB_GCA_000996205.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,78.58
GB_GCA_000996605.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,73.57
GB_GCA_001001115.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52.28
GB_GCA_001013295.1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.49,100.0
GB_GCA_001064145.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.47,100.0
GB_GCA_001067655.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.0,99.92
GB_GCA_001072465.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.42,100.0
GB_GCA_001189095.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,75.29
GB_GCA_001270045.2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.34,89.46
GB_GCA_001310715.1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0.16,86.81
GB_GCA_001312645.1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1.76,83.93
GB_GCA_001399705.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.93,90.4
GB_GCA_001403755.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.98,100.0
GB_GCA_001403775.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,94.15
GB_GCA_001419985.1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0.71,99.7
GB_GCA_001428065.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.18,100.0
GB_GCA_001429255.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,100.0
GB_GCA_001443445.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.28,87.2
GB_GCA_001443485.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,84.41
GB_GCA_001447805.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.02,97.51
GB_GCA_001464275.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.95,83.68
GB_GCA_001464505.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.03,93.51
GB_GCA_001464585.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.65,97.22
GB_GCA_001464715.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.34,97.32
GB_GCA_001464735.1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1.92,91.31
GB_GCA_001464995.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,91.81
GB_GCA_001468865.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,55.92
GB_GCA_001500025.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.61,100.0
GB_GCA_001507425.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.11,99.29
GB_GCA_001542995.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.56,96.53
GB_GCA_001552515.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,3.23,99.47
GB_GCA_001566965.1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1.24,97.36
GB_GCA_001567085.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,87.27
GB_GCA_001567105.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.82,90.73
GB_GCA_001567165.1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.25,93.94
GB_GCA_001567365.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,60.41
GB_GCA_001567485.1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,96.36
GB_GCA_001567545.1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.19,86.5
GB_GCA_001570385.1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,3.74,100.0
GB_GCA_001577345.1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1.31,99.37
GB_GCA_001592145.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.29,100.0
GB_GCA_001602455.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,96.39
GB_GCA_001603275.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,95.16
GB_GCA_001603335.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.92,80.08
GB_GCA_001603685.1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2.24,96.49
GB_GCA_001618065.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.0,99.48
GB_GCA_001618085.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.45,99.7
GB_GCA_001644045.1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0.0,99.93
GB_GCA_001665535.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.36,100.0
GB_GCA_001668625.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.15,100.0
GB_GCA_001673575.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1.63,100.0
GB_GCA_001704765.1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.92,81.83
GB_GCA_001713395.1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0.19,100.0
GB_GCA_001723765.1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,5.11,92.52
GB_GCA_001724025.1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,4.27,99.15
GB_GCA_001724135.1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,2.83,96.05
GB_GCA_001724175.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.45,82.35
GB_GCA_001724715.1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1.62,96.53
GB_GCA_001724785.1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,2.5,80.69
GB_GCA_001724815.1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3.56,95.59
GB_GCA_001725155.1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2.71,99.54
GB_GCA_001725255.1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1.96,88.57
GB_GCA_001730095.1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0.82,99.82
GB_GCA_001766965.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.76,66.1
GB_GCA_001767195.1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,5.13,89.74
GB_GCA_001767455.1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,6.84,96.58
GB_GCA_001767495.1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,4.27,94.59
GB_GCA_001767525.1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,5.98,97.44
GB_GCA_001767695.1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.71,91.88
GB_GCA_001768125.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.93,72.74
GB_GCA_001769655.1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1.14,85.46
GB_GCA_001769925.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,93.02
GB_GCA_001771285.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0.85,85.57
GB_GCA_001771815.1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.9,99.1
GB_GCA_001773975.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53.54
GB_GCA_001774105.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,54.97
GB_GCA_001775255.1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.84,83.94
GB_GCA_001775445.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57.52
GB_GCA_001777515.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,70.3
GB_GCA_001778455.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,76.27
GB_GCA_001779595.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,56.9
GB_GCA_001781205.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,85.48
GB_GCA_001781415.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,63.66
GB_GCA_001781685.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,59.8
GB_GCA_001783035.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.08
GB_GCA_001785115.1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0.15,81.25
GB_GCA_001785355.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73.96
GB_GCA_001785445.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18,65.42
GB_GCA_001788925.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,71.19
GB_GCA_001789045.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.49
GB_GCA_001790205.1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.78,81.55
GB_GCA_001790955.1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.85,89.13
GB_GCA_001791045.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,73.27
GB_GCA_001793825.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.93
GB_GCA_001794015.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.17
GB_GCA_001794125.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61.08
GB_GCA_001794825.1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.0,97.86
GB_GCA_001794945.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,89.35
GB_GCA_001795165.1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.94,86.36
GB_GCA_001795245.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,78.36
GB_GCA_001795345.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,76.39
GB_GCA_001795735.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59.23
GB_GCA_001796335.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,59.09
GB_GCA_001796785.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.82,74.85
GB_GCA_001796965.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.64,68.89
GB_GCA_001797035.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,80.09
GB_GCA_001797105.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,82.61
GB_GCA_001797335.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,93.11
GB_GCA_001797365.1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.94,86.45
GB_GCA_001798105.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.89,78.56
GB_GCA_001798135.1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.0,94.12
GB_GCA_001798185.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.69,89.64
GB_GCA_001800085.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,66.69
GB_GCA_001800185.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68.59
GB_GCA_001801685.1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,3.71,97.46
GB_GCA_001803815.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.91,60.95
GB_GCA_001804415.1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,80.11
GB_GCA_001804915.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.71,82.85
GB_GCA_001805005.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,74.76
GB_GCA_001805245.1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2.73,85.85
GB_GCA_001805375.1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4.3,76.74
GB_GCA_001805565.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,53.13
GB_GCA_001805615.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.08,81.12
GB_GCA_001809325.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.0,99.39
GB_GCA_001815675.1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.34,98.03
GB_GCA_001819095.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,59.8
GB_GCA_001819985.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,70.39
GB_GCA_001820685.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.56
GB_GCA_001821615.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,66.32
GB_GCA_001821765.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67.62
GB_GCA_001822815.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,65.57
GB_GCA_001823545.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,82.03
GB_GCA_001823605.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63.77
GB_GCA_001824135.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,59.9
GB_GCA_001824435.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,58.69
GB_GCA_001824475.1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,2.66,96.98
GB_GCA_001825115.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59.38
GB_GCA_001828645.1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.2,61.69
GB_GCA_001829005.1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,98.36
GB_GCA_001830245.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.74,93.26
GB_GCA_001830285.1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.55,79.45
GB_GCA_001830395.1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,2.9,71.12
GB_GCA_001830645.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,76.84
GB_GCA_001838165.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.47,100.0
GB_GCA_001871195.1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0.84,96.22
GB_GCA_001873065.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,98.99
GB_GCA_001873105.1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.89,93.16
GB_GCA_001880285.1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.0,100.0
GB_GCA_001896885.1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,2.38,97.95
GB_GCA_001896955.1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0.84,94.87
GB_GCA_001896965.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69.99
GB_GCA_001897075.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2.32,93.32
GB_GCA_001897285.1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0.29,99.32
GB_GCA_001897355.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,96.98
GB_GCA_001897425.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.64,95.66
GB_GCA_001897535.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49,98.11
GB_GCA_001897675.1,1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,6.51,98.17
GB_GCA_001897755.1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0.32,99.37
GB_GCA_001897945.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36,96.6
GB_GCA_001898175.1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0.58,98.94
GB_GCA_001898185.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.73,88.04
GB_GCA_001898315.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.27,98.84
GB_GCA_001898415.1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.37,99.31
GB_GCA_001898465.1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,99.51
GB_GCA_001898505.1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3.37,99.51
GB_GCA_001898855.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,96.25
GB_GCA_001899065.1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1.07,93.1
GB_GCA_001899075.1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0.2,98.63
GB_GCA_001899085.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2.25,99.34
GB_GCA_001899205.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.68,99.92
GB_GCA_001899235.1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.48,99.25
GB_GCA_001899255.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.73,97.93
GB_GCA_001899285.1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.47,98.02
GB_GCA_001899305.1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0.48,99.04
GB_GCA_001899685.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.25,99.51
GB_GCA_001899765.1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0.48,99.84
GB_GCA_001899855.1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.86,98.76
GB_GCA_001901525.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.23,90.5
GB_GCA_001914955.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.82,59.41
GB_GCA_001919865.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,68.68
GB_GCA_001942465.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.52,91.41
GB_GCA_001953215.1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0.47,99.37
GB_GCA_001956215.1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.72,99.39
GB_GCA_001999425.1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.42,99.89
GB_GCA_002002705.1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1.17,99.65
GB_GCA_002005205.3,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1.2,100.0
GB_GCA_002007405.1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0.0,98.01
GB_GCA_002009475.1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2.75,93.34
GB_GCA_002050125.1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,4.85,74.91
GB_GCA_002050235.1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,2.26,85.59
GB_GCA_002050275.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.91,90.91
GB_GCA_002068935.1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,4.61,96.28
GB_GCA_002083365.1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3.69,95.85
GB_GCA_002083395.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.58,98.25
GB_GCA_002083405.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69,95.85
GB_GCA_002083555.1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,5.1,93.58
GB_GCA_002083565.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.69,95.17
GB_GCA_002083595.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.1,85.89
GB_GCA_002083825.1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,2.56,89.74
GB_GCA_002104535.1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1.36,99.33
GB_GCA_002134785.1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1.82,98.37
GB_GCA_002154655.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,99.71
GB_GCA_002159065.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,93.35
GB_GCA_002159075.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.41,95.38
GB_GCA_002159155.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.83,91.58
GB_GCA_002162765.1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.17,94.55
GB_GCA_002162795.1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0.83,97.34
GB_GCA_002162915.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.74,93.91
GB_GCA_002238765.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.73,94.09
GB_GCA_002238825.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,96.59
GB_GCA_002239065.1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,86.57
GB_GCA_002240395.1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.78,99.92
GB_GCA_002243705.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,99.44
GB_GCA_002254365.1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3.86,93.3
GB_GCA_002255365.1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4.36,99.47
GB_GCA_002256055.1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,3.21,83.87
GB_GCA_002256115.1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2.2,93.77
GB_GCA_002256465.1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2.38,68.92
GB_GCA_002256685.1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2.5,83.24
GB_GCA_002256705.1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0.33,66.59
GB_GCA_002256925.1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1.74,81.98
GB_GCA_002278925.1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0.0,99.84
GB_GCA_002279005.1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2.73,91.73
